iter	Passed	Remaining
0	3	3886
1	6	3060
2	9	3038
3	11	2900
4	14	2816
5	16	2747
6	18	2646
7	20	2580
8	22	2530
9	25	2491
10	27	2444
11	29	2402
12	31	2383
13	33	2362
14	35	2342
15	37	2322
16	39	2299
17	41	2279
18	43	2252
19	45	2236
20	47	2212
21	49	2197
22	51	2175
23	53	2166
24	55	2148
25	57	2135
26	58	2122
27	60	2108
28	62	2094
29	64	2088
30	66	2085
31	68	2074
32	70	2068
33	72	2058
34	74	2048
35	76	2039
36	77	2029
37	79	2021
38	81	2010
39	83	2006
40	85	1995
41	87	1990
42	89	1983
43	91	1980
44	92	1972
45	94	1968
46	96	1966
47	98	1959
48	100	1957
49	102	1954
50	105	1954
51	106	1950
52	108	1947
53	110	1941
54	112	1939
55	114	1936
56	116	1931
57	118	1926
58	120	1925
59	122	1922
60	124	1919
61	126	1913
62	128	1912
63	130	1909
64	132	1905
65	134	1902
66	136	1898
67	138	1897
68	140	1891
69	142	1887
70	144	1887
71	146	1884
72	148	1879
73	149	1875
74	151	1874
75	153	1870
76	155	1865
77	157	1865
78	159	1862
79	161	1857
80	163	1853
81	165	1851
82	167	1850
83	169	1848
84	171	1848
85	173	1847
86	175	1844
87	177	1841
88	179	1838
89	181	1838
90	183	1834
91	186	1835
92	188	1840
93	190	1840
94	193	1839
95	194	1835
96	196	1831
97	198	1829
98	200	1825
99	202	1824
100	206	1837
101	208	1835
102	210	1833
103	212	1829
104	214	1825
105	216	1823
106	218	1820
107	220	1818
108	222	1814
109	224	1813
110	226	1811
111	227	1807
112	229	1803
113	231	1801
114	233	1800
115	235	1796
116	237	1795
117	239	1791
118	241	1788
119	243	1787
120	245	1786
121	247	1784
122	250	1782
123	252	1780
124	254	1778
125	256	1777
126	258	1775
127	260	1773
128	262	1771
129	264	1769
130	266	1767
131	268	1765
132	270	1764
133	272	1762
134	274	1759
135	276	1758
136	278	1756
137	280	1754
138	283	1753
139	284	1750
140	287	1748
141	289	1746
142	291	1744
143	292	1741
144	295	1739
145	297	1738
146	299	1736
147	301	1734
148	303	1731
149	304	1728
150	307	1726
151	309	1724
152	311	1723
153	313	1721
154	315	1719
155	317	1717
156	319	1713
157	320	1710
158	323	1708
159	325	1706
160	327	1705
161	329	1703
162	331	1701
163	333	1698
164	335	1695
165	336	1692
166	338	1690
167	341	1689
168	342	1686
169	344	1683
170	346	1682
171	348	1679
172	350	1676
173	352	1675
174	354	1673
175	357	1671
176	359	1669
177	361	1668
178	363	1666
179	365	1663
180	367	1661
181	369	1659
182	371	1657
183	373	1655
184	375	1653
185	377	1651
186	379	1649
187	381	1647
188	383	1645
189	385	1644
190	387	1641
191	389	1640
192	391	1638
193	393	1636
194	396	1634
195	398	1633
196	400	1631
197	402	1629
198	404	1627
199	406	1626
200	408	1624
201	410	1621
202	412	1620
203	414	1617
204	416	1615
205	418	1613
206	420	1610
207	422	1608
208	424	1605
209	426	1603
210	428	1600
211	430	1599
212	432	1596
213	433	1594
214	435	1591
215	438	1590
216	440	1588
217	442	1585
218	443	1583
219	446	1583
220	448	1581
221	450	1580
222	453	1578
223	455	1576
224	456	1573
225	459	1572
226	461	1569
227	463	1567
228	465	1566
229	467	1564
230	469	1562
231	471	1560
232	473	1558
233	475	1556
234	477	1554
235	479	1552
236	481	1550
237	483	1549
238	485	1546
239	487	1544
240	489	1542
241	491	1540
242	493	1538
243	496	1537
244	497	1534
245	500	1532
246	501	1530
247	503	1527
248	505	1526
249	508	1524
250	509	1521
251	512	1519
252	514	1517
253	516	1515
254	518	1514
255	520	1511
256	522	1509
257	524	1507
258	526	1505
259	528	1503
260	530	1501
261	532	1500
262	534	1498
263	536	1496
264	538	1494
265	540	1491
266	542	1489
267	544	1488
268	546	1485
269	548	1483
270	550	1482
271	552	1480
272	554	1477
273	556	1475
274	558	1473
275	560	1470
276	562	1469
277	564	1466
278	566	1464
279	568	1462
280	570	1459
281	572	1457
282	574	1455
283	576	1453
284	578	1451
285	580	1449
286	582	1447
287	584	1445
288	586	1443
289	588	1441
290	590	1439
291	592	1437
292	594	1435
293	596	1433
294	598	1431
295	601	1429
296	603	1427
297	605	1425
298	607	1423
299	609	1421
300	611	1419
301	613	1417
302	615	1415
303	617	1412
304	619	1411
305	621	1409
306	623	1407
307	625	1405
308	627	1403
309	629	1401
310	631	1399
311	633	1397
312	635	1395
313	637	1393
314	639	1391
315	641	1389
316	643	1387
317	646	1385
318	648	1383
319	650	1381
320	652	1379
321	654	1378
322	657	1378
323	660	1377
324	662	1375
325	664	1373
326	666	1371
327	668	1369
328	670	1367
329	672	1365
330	674	1363
331	676	1361
332	678	1359
333	680	1357
334	682	1355
335	684	1353
336	686	1351
337	688	1349
338	690	1346
339	692	1344
340	694	1342
341	696	1340
342	699	1339
343	701	1337
344	703	1335
345	705	1333
346	707	1331
347	709	1329
348	711	1327
349	713	1325
350	715	1323
351	717	1321
352	719	1319
353	722	1317
354	723	1315
355	725	1313
356	727	1311
357	729	1309
358	732	1307
359	734	1305
360	736	1303
361	738	1301
362	740	1299
363	742	1297
364	744	1295
365	746	1293
366	748	1291
367	750	1289
368	752	1287
369	755	1285
370	757	1283
371	759	1281
372	761	1279
373	763	1277
374	765	1275
375	767	1273
376	769	1271
377	771	1269
378	773	1267
379	775	1265
380	778	1264
381	780	1262
382	782	1260
383	784	1257
384	786	1256
385	788	1254
386	790	1252
387	792	1250
388	794	1248
389	796	1246
390	799	1244
391	801	1242
392	803	1240
393	805	1238
394	807	1236
395	809	1234
396	811	1232
397	813	1230
398	815	1228
399	817	1226
400	819	1224
401	821	1222
402	824	1220
403	826	1218
404	828	1216
405	830	1214
406	832	1212
407	834	1210
408	836	1208
409	838	1206
410	840	1204
411	842	1202
412	844	1200
413	846	1198
414	848	1196
415	850	1194
416	852	1192
417	854	1190
418	857	1188
419	859	1186
420	861	1184
421	863	1182
422	865	1180
423	867	1178
424	869	1176
425	871	1174
426	873	1172
427	875	1170
428	877	1168
429	879	1166
430	881	1164
431	883	1161
432	885	1160
433	888	1158
434	890	1156
435	892	1154
436	894	1151
437	896	1150
438	898	1148
439	900	1146
440	902	1144
441	904	1141
442	906	1139
443	908	1137
444	910	1135
445	912	1133
446	914	1131
447	916	1129
448	918	1127
449	921	1125
450	923	1123
451	925	1121
452	927	1119
453	929	1117
454	931	1115
455	933	1113
456	935	1111
457	937	1109
458	939	1107
459	941	1105
460	943	1103
461	945	1101
462	948	1099
463	950	1097
464	952	1095
465	954	1093
466	956	1091
467	958	1089
468	960	1087
469	962	1085
470	964	1083
471	966	1081
472	968	1079
473	971	1078
474	974	1077
475	976	1075
476	979	1073
477	981	1071
478	983	1069
479	985	1067
480	987	1065
481	989	1063
482	991	1061
483	993	1059
484	995	1057
485	997	1055
486	1000	1053
487	1002	1051
488	1004	1049
489	1006	1047
490	1008	1045
491	1010	1043
492	1012	1041
493	1014	1039
494	1016	1037
495	1018	1035
496	1020	1033
497	1022	1031
498	1024	1029
499	1027	1027
500	1029	1025
501	1031	1023
502	1033	1021
503	1035	1019
504	1037	1017
505	1039	1015
506	1041	1012
507	1043	1010
508	1045	1008
509	1047	1006
510	1049	1004
511	1051	1001
512	1053	999
513	1055	997
514	1057	995
515	1059	993
516	1061	991
517	1063	989
518	1065	987
519	1067	985
520	1069	983
521	1072	981
522	1073	979
523	1076	977
524	1078	975
525	1080	973
526	1082	971
527	1084	969
528	1086	967
529	1088	965
530	1090	963
531	1092	961
532	1094	959
533	1096	957
534	1098	955
535	1101	953
536	1103	951
537	1105	948
538	1107	946
539	1109	944
540	1111	942
541	1113	940
542	1115	938
543	1117	936
544	1119	934
545	1121	932
546	1123	930
547	1125	927
548	1127	925
549	1129	923
550	1131	922
551	1133	920
552	1135	918
553	1137	915
554	1139	913
555	1141	911
556	1143	909
557	1145	907
558	1147	905
559	1149	903
560	1151	901
561	1153	899
562	1155	897
563	1158	895
564	1160	893
565	1162	891
566	1164	889
567	1166	886
568	1168	884
569	1170	882
570	1172	880
571	1175	879
572	1177	877
573	1180	875
574	1181	873
575	1184	871
576	1186	869
577	1188	867
578	1190	865
579	1194	864
580	1196	862
581	1198	860
582	1200	858
583	1202	856
584	1204	854
585	1206	852
586	1209	850
587	1210	848
588	1212	846
589	1214	844
590	1216	842
591	1219	840
592	1220	837
593	1223	835
594	1225	833
595	1227	831
596	1229	829
597	1231	827
598	1233	825
599	1235	823
600	1237	821
601	1239	819
602	1241	817
603	1243	815
604	1245	813
605	1247	811
606	1249	809
607	1252	807
608	1254	805
609	1256	803
610	1258	801
611	1260	799
612	1262	797
613	1264	794
614	1266	792
615	1268	790
616	1270	788
617	1272	786
618	1274	784
619	1277	782
620	1279	780
621	1281	778
622	1283	776
623	1285	774
624	1287	772
625	1290	770
626	1291	768
627	1294	766
628	1297	765
629	1300	763
630	1302	761
631	1304	759
632	1306	757
633	1308	755
634	1310	753
635	1312	751
636	1315	749
637	1317	747
638	1318	745
639	1320	742
640	1322	740
